time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.87,4.34,4.34,4.34,0,,
2020-01-03,3.87,4.34,4.34,4.34,0,,
2020-01-06,3.87,4.34,4.34,4.34,0,,
2020-01-07,3.87,4.34,4.34,4.34,0,,
2020-01-08,3.87,4.34,4.34,4.34,0,,
2020-01-09,3.87,4.34,4.34,4.34,0,,
2020-01-10,3.87,4.34,4.34,4.34,0,,
2020-01-13,3.87,4.34,4.34,4.34,0,,
2020-01-14,3.87,4.34,4.34,4.34,0,,
2020-01-15,3.87,4.34,4.34,4.34,0,,
2020-01-16,3.87,4.34,4.34,4.34,0,,
2020-01-17,3.87,4.34,4.34,4.34,0,,
2020-01-20,3.87,4.34,4.34,4.34,0,,
2020-01-21,3.87,4.34,4.34,4.34,0,,
2020-01-22,3.87,4.34,4.34,4.34,0,,
2020-01-30,3.87,4.34,4.34,4.34,0,,
2020-01-31,3.87,4.34,4.34,4.34,0,,
2020-02-03,3.87,4.34,4.34,4.34,0,,
2020-02-04,3.87,4.34,4.34,4.34,0,,
2020-02-05,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-06,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-07,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-10,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-11,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-12,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-13,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-14,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-17,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-18,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-19,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-20,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-21,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-24,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-25,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-26,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-27,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-02-28,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-02,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-03,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-04,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-05,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-06,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-09,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-10,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-11,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-12,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-13,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-16,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-17,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-18,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-19,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-20,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-23,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-24,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-25,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-26,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-27,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-30,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-03-31,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-04-01,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-04-03,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-04-06,3.87,4.34,4.34,4.34,0,4.34,4.34
2020-04-07,3.87,4.34,4.34,4.34,0,4.34,4.34
